type,squareMeters,floor,floorCount,centreDistance,poiCount,ownership,hasBalcony,hasElevator,price
tenement,72.5,3,3,1.85,17,condominium,no,no,690000
,88,3,3,4.72,5,cooperative,yes,no,814990
blockOfFlats,50.53,2,4,1.22,75,condominium,no,,485000
blockOfFlats,54.8,,4,0.79,67,condominium,yes,no,660000
apartmentBuilding,33.46,1,17,4.38,5,condominium,no,yes,351330
blockOfFlats,38.3,4,10,2.62,15,condominium,no,yes,429000
,68,4,4,1.26,9,condominium,no,no,477000
tenement,107.31,3,4,1.74,32,condominium,yes,no,649000
blockOfFlats,38,1,4,3.64,4,condominium,yes,no,370000
tenement,68.1,4,4,1.4,14,condominium,no,no,470000
tenement,98.68,3,4,1.96,47,condominium,no,no,690000
blockOfFlats,74.24,4,4,7.95,21,condominium,yes,no,639000
,33.03,8,8,0.14,55,condominium,yes,yes,440000
blockOfFlats,36.15,1,3,5.86,1,condominium,yes,yes,509000
apartmentBuilding,35.91,1,3,4.34,2,condominium,yes,yes,505000
blockOfFlats,29.8,1,4,2.04,16,cooperative,no,no,320000
blockOfFlats,88,3,3,4.64,8,cooperative,yes,no,820000
tenement,68,4,4,0.78,18,condominium,no,no,476974
,38.3,1,4,2.77,11,condominium,no,no,405000
blockOfFlats,61.26,3,3,5.28,1,condominium,no,yes,639000
,58.9,3,3,0.79,67,condominium,yes,no,649000
,35,4,4,0.9,83,condominium,no,no,360000
,36.15,1,1,4.74,8,condominium,no,no,505000
,70,3,3,0.92,16,condominium,no,no,615000
blockOfFlats,39.31,,2,4.6,6,condominium,no,no,459000
blockOfFlats,48.66,2,3,4.08,7,condominium,yes,yes,580000
,36.15,1,3,4.82,11,condominium,yes,yes,505000
apartmentBuilding,35.91,1,3,5.86,1,condominium,no,yes,510000
blockOfFlats,35.91,1,3,4.38,3,condominium,yes,yes,510000
apartmentBuilding,74.07,1,3,4.86,2,condominium,no,yes,1194280
blockOfFlats,77.1,3,12,8.44,14,cooperative,yes,yes,719000
blockOfFlats,57.66,3,4,2.98,11,condominium,yes,no,560000
blockOfFlats,54,,,8.1,3,condominium,yes,no,480000
blockOfFlats,62.6,2,4,9.24,9,cooperative,yes,no,595000
blockOfFlats,48.9,,4,5.25,2,condominium,yes,yes,649000
blockOfFlats,53.26,10,11,4.81,3,condominium,yes,yes,439000
tenement,45,1,2,1.59,63,condominium,no,no,490000
blockOfFlats,68,,6,1.39,66,condominium,no,yes,599000
blockOfFlats,52.9,2,4,1.5,18,condominium,yes,no,550000
blockOfFlats,32,4,4,3.09,16,condominium,no,,309000
tenement,64.96,,3,1.5,51,condominium,no,no,490000
blockOfFlats,34,6,8,1.59,35,condominium,no,no,375000
,87.83,1,4,1.61,71,condominium,no,,790000
,48.08,1,1,6.89,2,condominium,no,no,390000
tenement,122,3,4,1.61,48,condominium,yes,no,893000
blockOfFlats,57.55,3,3,5.54,2,condominium,yes,no,629000
blockOfFlats,68.4,1,4,4.08,7,condominium,yes,no,749000
blockOfFlats,75,5,5,2.67,15,cooperative,no,no,595000
,48,1,1,6.09,0,condominium,no,no,389000
,79.35,3,4,1.55,80,condominium,no,no,420000
blockOfFlats,65,4,4,6.33,10,cooperative,yes,no,529000
tenement,81,3,4,2.84,11,condominium,no,no,699000
tenement,89.34,,3,1.44,77,condominium,no,no,600000
apartmentBuilding,38.53,1,4,0.92,11,condominium,yes,yes,580000
blockOfFlats,37.8,4,11,2.9,12,condominium,no,yes,399000
,35.6,3,4,2.26,10,cooperative,no,no,369000
,35.6,3,4,2.3,10,cooperative,no,no,369000
,67.22,1,1,7.95,14,condominium,no,no,599000
blockOfFlats,38.64,4,10,1.51,75,cooperative,no,yes,350000
blockOfFlats,88,3,3,4.27,3,cooperative,no,no,820000
,70.18,1,4,1.04,47,condominium,yes,yes,815000
,52.1,,1,3.76,8,condominium,no,no,719000
blockOfFlats,56.91,3,4,5.44,2,cooperative,yes,no,529000
tenement,63.48,4,4,1.16,87,condominium,no,,619000
,40.17,1,4,0.29,68,condominium,yes,no,510000
blockOfFlats,35.02,5,5,0.43,76,condominium,no,yes,449000
apartmentBuilding,86.8,4,5,2.26,10,condominium,no,yes,1030000
tenement,74.6,3,3,1.04,47,condominium,yes,no,629000
,54.86,3,4,1.9,49,condominium,no,yes,659000
blockOfFlats,47,4,10,3.45,17,cooperative,no,yes,394000
tenement,74.9,4,4,1.26,61,condominium,no,no,369000
tenement,101.68,,4,1.26,39,condominium,no,no,620000
blockOfFlats,69.5,4,5,2.89,5,condominium,yes,no,589000
blockOfFlats,63.14,1,6,1.21,9,condominium,yes,yes,639000
blockOfFlats,52.96,3,4,5.74,2,cooperative,yes,no,485000
,52,1,2,7.09,0,condominium,yes,no,644000
,73.26,3,4,1.98,36,condominium,yes,no,435000
blockOfFlats,55.19,1,2,6.64,2,condominium,yes,no,629000
blockOfFlats,47.2,5,12,2.95,9,cooperative,yes,yes,525000
tenement,107.91,3,4,1.56,61,cooperative,yes,no,765000
blockOfFlats,47.55,7,10,1.31,21,cooperative,yes,yes,495000
tenement,83,4,4,1.04,47,condominium,no,,414900
,38.14,3,11,4.54,5,cooperative,no,yes,499000
tenement,48.31,3,3,2.87,10,condominium,yes,no,449000
blockOfFlats,42.61,3,5,0.91,24,cooperative,no,no,445000
,50,4,4,1.04,47,cooperative,yes,no,559000
tenement,74.57,,4,1.55,80,condominium,no,no,480000
tenement,38.48,1,3,4.38,9,condominium,no,no,489000
,38.48,1,3,4.29,8,condominium,no,no,489000
tenement,96.62,1,4,1.58,43,condominium,no,,558600
blockOfFlats,64,3,5,1.36,14,condominium,yes,no,565000
blockOfFlats,57.2,8,11,3.82,6,cooperative,yes,yes,495000
apartmentBuilding,67.55,1,4,6.12,0,condominium,yes,yes,820000
blockOfFlats,75,3,4,7.68,1,condominium,yes,no,649000
blockOfFlats,74,,3,3.33,9,condominium,yes,yes,1060000
tenement,53.46,2,3,1.86,11,condominium,yes,no,429999
blockOfFlats,51,2,2,4.38,5,condominium,yes,no,519000
,67.95,2,2,4.14,3,condominium,no,no,620000
,104.35,1,4,1.58,43,condominium,no,no,769000
blockOfFlats,87.2,2,2,6.48,2,condominium,yes,no,989000
blockOfFlats,44.78,3,4,5.04,6,cooperative,yes,no,439000
blockOfFlats,38.6,1,4,2.73,5,cooperative,yes,no,379000
,38,1,4,1.53,9,condominium,no,no,589000
tenement,65.64,2,3,4.61,1,condominium,yes,no,359000
blockOfFlats,66.7,,10,8.69,7,condominium,yes,yes,665000
,44.01,,3,4.32,9,condominium,no,no,459000
tenement,68.78,3,3,1.6,72,condominium,no,no,630000
blockOfFlats,45.89,2,4,3.64,4,cooperative,yes,no,405000
tenement,60.92,4,5,1.55,80,condominium,no,yes,544000
blockOfFlats,74.7,3,3,4.37,3,condominium,yes,no,699000
,27.14,,3,6.3,0,condominium,no,no,362900
tenement,58.76,3,3,1.55,80,condominium,no,no,439000
tenement,60,,2,3.64,0,condominium,no,no,490000
tenement,65.09,3,3,3.69,0,condominium,no,no,340000
blockOfFlats,59.86,2,2,6.64,4,condominium,yes,no,595000
,33,,3,3.53,8,condominium,yes,no,379000
,59,,1,2.73,0,condominium,no,no,490000
apartmentBuilding,48.35,,10,3.53,8,condominium,no,yes,680000
apartmentBuilding,38.53,,4,1.82,9,condominium,no,yes,580000
blockOfFlats,70.99,,4,1.33,36,condominium,yes,no,650000
blockOfFlats,31,2,5,0.79,67,condominium,no,yes,440000
blockOfFlats,43,4,4,2.9,5,condominium,yes,no,456000
blockOfFlats,113,1,1,3.55,5,condominium,no,no,870000
blockOfFlats,63.1,1,4,5.4,14,condominium,yes,no,660000
,52,4,4,1.59,35,condominium,no,no,405000
,38.53,1,4,2.58,15,condominium,no,,594000
blockOfFlats,56,2,4,4.06,3,condominium,yes,yes,720000
blockOfFlats,35.1,,4,9.23,8,condominium,yes,no,400000
,74.07,,3,3.64,4,condominium,no,yes,1090000
apartmentBuilding,40,4,5,0.42,21,condominium,yes,yes,476000
,95,2,2,6.28,2,condominium,yes,no,839000
apartmentBuilding,72.33,5,6,0.69,58,condominium,yes,yes,1100000
blockOfFlats,46.21,,4,3.27,15,condominium,yes,no,489000
blockOfFlats,48,1,5,3.57,8,condominium,no,yes,435500
blockOfFlats,49.7,2,4,9.8,2,cooperative,yes,no,529900
tenement,74.74,,1,8.47,1,condominium,no,no,389000
blockOfFlats,67.95,,2,6.17,2,condominium,no,no,790000
,63,11,11,1.83,13,condominium,yes,yes,449000
tenement,57.92,4,4,1.04,47,condominium,no,,399000
blockOfFlats,55.23,,4,4.84,7,condominium,yes,no,509000
blockOfFlats,66,1,4,4.32,9,condominium,no,no,619000
blockOfFlats,36.5,8,11,3.18,11,cooperative,yes,yes,364000
blockOfFlats,88.22,1,3,4.09,0,condominium,yes,no,950000
apartmentBuilding,29,2,8,2.51,2,condominium,yes,yes,400000
blockOfFlats,69,4,4,4.61,2,condominium,yes,no,620000
blockOfFlats,43,,4,4.23,8,cooperative,no,,420000
blockOfFlats,41.2,1,3,4.57,10,condominium,no,no,410000
blockOfFlats,64,4,4,4.32,9,cooperative,yes,no,690000
blockOfFlats,51.21,1,5,1.53,74,condominium,yes,yes,579000
blockOfFlats,54,4,4,4.35,3,condominium,yes,no,549000
blockOfFlats,92.6,3,3,8.45,5,cooperative,yes,no,790000
blockOfFlats,35.6,1,10,1.79,14,condominium,yes,yes,345000
blockOfFlats,70.8,4,4,8.31,12,cooperative,yes,no,579000
blockOfFlats,47.2,,10,1.88,13,condominium,yes,yes,579000
,88,3,3,4.32,9,cooperative,no,no,820000
blockOfFlats,63.4,3,3,1.04,47,condominium,yes,no,790000
blockOfFlats,96,2,2,5.46,7,condominium,no,no,650000
blockOfFlats,90.1,4,4,5.17,5,cooperative,yes,no,799000
,38,2,4,0.41,73,cooperative,no,no,429000
blockOfFlats,71.29,2,3,4.96,8,condominium,yes,no,699000
blockOfFlats,46.21,,4,2.71,7,condominium,no,no,499000
blockOfFlats,52.51,6,7,0.66,49,condominium,no,yes,538000
blockOfFlats,76.21,1,1,4.62,10,condominium,no,no,650000
blockOfFlats,71.48,3,3,1.98,20,condominium,no,no,399000
,86,1,3,0.79,67,cooperative,no,no,750000
,49.97,,2,5.46,8,condominium,yes,no,569000
apartmentBuilding,48,5,5,0.12,57,condominium,no,yes,689000
blockOfFlats,115,5,6,2.6,14,condominium,no,no,988000
,52.51,6,7,0.28,64,condominium,yes,yes,536000
tenement,110,1,3,1.9,49,condominium,yes,no,699000
blockOfFlats,74,3,4,8.61,3,cooperative,yes,no,550000
tenement,70.48,3,4,1.51,75,condominium,yes,no,585000
tenement,72.21,4,4,1.04,47,condominium,no,no,599000
blockOfFlats,45.5,2,4,4.03,10,cooperative,yes,no,509000
,131.45,1,2,6.89,2,condominium,yes,no,1050000
apartmentBuilding,29,3,7,5.05,1,condominium,yes,yes,392370
blockOfFlats,63.23,2,4,8.23,11,cooperative,yes,no,535000
apartmentBuilding,28.74,3,3,5.05,1,condominium,yes,yes,392370
blockOfFlats,59.6,2,4,1.04,47,condominium,yes,no,599000
,76,,3,1.04,47,condominium,no,no,479000
,56.15,6,6,1.55,7,condominium,yes,yes,699000
,63.6,3,4,8.29,15,cooperative,yes,no,570000
,65.56,1,1,1.04,47,condominium,no,no,667000
,85,3,4,1.37,85,condominium,yes,no,589999
,65.09,3,3,0.79,67,condominium,no,no,330000
,67.62,2,4,1.21,9,condominium,yes,no,730000
,84,1,2,6.14,0,condominium,yes,no,850000
,64,,2,6.33,0,condominium,yes,no,620000
,30.65,3,3,0.79,67,condominium,no,no,310000
,63.7,11,11,2.65,16,cooperative,yes,yes,379000
,140,4,4,1.22,47,condominium,no,no,799000
,80.45,4,4,2.02,40,condominium,no,no,614000
,35.1,,,8.87,9,condominium,yes,no,420000
,37,1,1,3.89,7,condominium,yes,no,360000
,51,2,4,0.85,17,condominium,no,no,455000
,134.85,2,4,1.71,32,condominium,yes,no,999000
,70.3,9,11,3.35,14,condominium,yes,yes,699000
,63.1,2,4,8.87,9,condominium,yes,no,640000
,53,,,5.04,7,condominium,yes,no,748680
,86.46,1,6,3.41,8,condominium,yes,yes,861000
,57,1,2,8.46,1,cooperative,no,no,399000
,150,5,6,1.69,17,cooperative,yes,no,940000
,71,2,4,2.86,13,condominium,no,no,550000
,54.5,2,4,7.95,14,condominium,no,no,460000
,78.32,3,3,5.26,0,condominium,yes,yes,935000
,76,4,4,3.64,4,condominium,no,no,380000
,51.49,3,4,3.55,1,condominium,no,no,509000
,53,1,2,6.69,13,condominium,no,no,429000
,60,,1,0.79,67,condominium,no,no,490000
,48,3,3,3.34,15,condominium,yes,no,655000
,51.5,1,2,4.32,9,condominium,yes,no,390000
,82,4,4,1.04,47,condominium,no,no,495000
,54,3,4,1,79,condominium,no,no,359000
,83.75,2,3,1.47,60,condominium,no,no,700000
,86,1,4,1.31,19,cooperative,yes,no,779000
,28.74,3,7,4.59,6,condominium,yes,yes,392370
,37,9,9,1.83,13,condominium,yes,yes,444000
blockOfFlats,54,3,3,5.44,2,condominium,yes,no,749000
tenement,114.08,2,4,1.55,0,condominium,no,no,799000
,78,2,4,4.08,7,cooperative,no,,669000
blockOfFlats,38.69,1,2,8.48,3,condominium,no,no,400000
tenement,59,,2,4.24,1,condominium,no,no,489000
tenement,62.71,2,3,1.2,81,condominium,no,no,379000
tenement,46.8,4,4,1.98,20,condominium,no,no,399000
tenement,58,2,2,4.09,3,cooperative,no,no,549000
blockOfFlats,53.2,,3,9.4,7,cooperative,yes,no,625000
,79.5,1,3,7.43,3,condominium,yes,no,575000
blockOfFlats,31.4,1,4,4.82,7,cooperative,yes,no,450000
blockOfFlats,47.75,4,4,3.53,9,condominium,no,,460000
,37.2,2,3,4.66,4,condominium,no,no,580000
blockOfFlats,72.3,2,2,4.23,13,condominium,yes,no,630000
blockOfFlats,65.4,4,4,8.63,6,cooperative,yes,no,565000
